Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Mouhamadou Gning / Mouhamadou-Gning,sn SEN,MF,Kerala Blasters,30,1989,6,5,495,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Sahal Abdul Samad / Sahal-Abdul-Samad,in IND,MF,Kerala Blasters,22,1997,10,5,433,0,2,0,0,1,0,0.00,0.42,0.42,0.00,0.42,Matches
3,Noé Acosta / Noe-Acosta,es ESP,MF,Jamshedpur,35,1983,7,4,326,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Agus / Agus,es ESP,DFFW,Kolkata,34,1985,10,9,840,0,1,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches
5,Gani Ahammed Nigam / Gani-Ahammed-Nigam,in IND,FW,Hyderabad FC,21,1998,5,1,164,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Tarif Akhand / Tarif-Akhand,in IND,DF,Hyderabad FC,21,1998,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Mohamed Ali / Mohamed-Ali,in IND,DF,Goa,31,1987,1,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Rahim Ali / Rahim-Ali,in IND,FW,Chennaiyin,19,2000,3,1,64,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Aniket Anil Jhadav / Aniket-Anil-Jhadav,in IND,FW,Jamshedpur,19,2000,9,2,261,1,0,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches
10,Rino Anto / Rino-Anto,in IND,DF,Bengaluru,31,1988,1,0,,0,0,0,0,0,0,,,,,,Matches
11,Aridane / Aridane,es ESP,FW,Delhi Dynamos,32,1987,10,10,838,6,1,0,0,2,0,0.64,0.11,0.75,0.64,0.75,Matches
12,Mario Arqués / Mario-Arques,es ESP,MF,Kerala Blasters,27,1992,4,3,296,0,1,0,0,0,0,0.00,0.30,0.30,0.00,0.30,Matches
13,Raphael Augusto / Raphael-Augusto,br BRA,MF,Bengaluru,28,1991,9,9,785,0,1,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches
14,Giles Barnes / Giles-Barnes,jm JAM,FWMF,Hyderabad FC,30,1988,6,4,431,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Maximiliano Barreiro / Maximiliano-Barreiro,ar ARG,FW,NorthEast Utd,34,1985,7,0,212,1,0,1,1,0,0,0.42,0.00,0.42,0.00,0.00,Matches
16,Edu Bedia / Edu-Bedia,es ESP,MF,Goa,30,1989,8,3,338,0,1,0,0,3,0,0.00,0.27,0.27,0.00,0.27,Matches
17,Arindam Bhattacharya / Arindam-Bhattacharya,in IND,GK,Kolkata,30,1989,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Rahul Bheke / Rahul-Bheke,in IND,DF,Bengaluru,28,1990,9,7,620,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Pranjal Bhumij / Pranjal-Bhumij,in IND,FW,Mumbai City,20,1999,1,0,17,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Bobô / Bobo,br BRA,FW,Hyderabad FC,34,1985,6,6,488,4,0,1,1,1,0,0.74,0.00,0.74,0.55,0.55,Matches
21,Gaurav Bora / Gaurav-Bora,in IND,MF,Delhi Dynamos,21,1998,2,1,135,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Rowllin Borges / Rowllin-Borges,in IND,MF,Mumbai City,28,1991,8,8,720,1,0,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches
23,Subashish Bose / Subashish-Bose,in IND,DF,Mumbai City,23,1995,11,11,945,1,1,0,0,2,0,0.10,0.10,0.19,0.10,0.19,Matches
24,Hugo Boumous / Hugo-Boumous,fr FRA,MF,Goa,24,1995,7,7,557,4,4,0,0,1,0,0.65,0.65,1.29,0.65,1.29,Matches
25,Diego Carlos / Diego-Carlos,br BRA,FW,Mumbai City,31,1988,10,8,724,1,1,0,0,4,0,0.12,0.12,0.25,0.12,0.25,Matches
26,Jessel Carneiro / Jessel-Carneiro,in IND,DF,Kerala Blasters,29,1990,10,10,900,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
27,Sergio Castel / Sergio-Castel,es ESP,FW,Jamshedpur,24,1995,6,6,527,5,0,1,1,0,0,0.85,0.00,0.85,0.68,0.68,Matches
28,Souvik Chakrabarti / Souvik-Chakrabarti,in IND,MF,Mumbai City,27,1992,7,6,527,1,0,0,0,3,1,0.17,0.00,0.17,0.17,0.17,Matches
29,Hali Charan Narzary / Hali-Charan-Narzary,in IND,FW,Kerala Blasters,24,1994,6,3,244,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Martín Cháves / Martin-Chaves,uy URU,FW,NorthEast Utd,21,1998,9,9,784,0,2,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches
31,Amine Chermiti / Amine-Chermiti,tn TUN,FW,Mumbai City,31,1987,10,10,836,4,0,0,0,3,0,0.43,0.00,0.43,0.43,0.43,Matches
32,Lallianzuala Chhangte / Lallianzuala-Chhangte,in IND,FW,Chennaiyin,21,1997,9,8,757,1,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches
33,Sunil Chhetri / Sunil-Chhetri,in IND,FW,Bengaluru,34,1984,11,11,990,7,0,2,2,1,0,0.64,0.00,0.64,0.45,0.45,Matches
34,Farukh Choudhary / Farukh-Choudhary,in IND,FW,Jamshedpur,22,1996,10,10,854,1,3,0,0,2,0,0.11,0.32,0.42,0.11,0.42,Matches
35,Pratik Chowdhary / Pratik-Chowdhary,in IND,DF,Mumbai City,33,1986,11,10,948,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
36,Sergio Cidoncha / Sergio-Cidoncha,es ESP,MF,Kerala Blasters,28,1990,8,8,636,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
37,Liston Colaco / Liston-Colaco,in IND,FW,Goa,20,1998,3,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Ferran Corominas / Ferran-Corominas,es ESP,FWMF,Goa,36,1983,8,8,716,7,2,2,2,0,0,0.88,0.25,1.13,0.63,0.88,Matches
39,Rafael Crivellaro / Rafael-Crivellaro,br BRA,MF,Chennaiyin,30,1989,9,8,679,2,2,0,0,2,0,0.27,0.27,0.53,0.27,0.53,Matches
40,Vignesh Dakshina Murthy / Vignesh-Dakshina-Murthy,in IND,MF,Mumbai City,21,1998,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Narayan Das / Narayan-Das,in IND,DF,Delhi Dynamos,25,1993,10,10,900,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
42,Prabir Das / Prabir-Das,in IND,DF,Kolkata,25,1993,11,10,921,0,3,0,0,1,0,0.00,0.29,0.29,0.00,0.29,Matches
43,Sourav Das / Sourav-Das,in IND,MF,Mumbai City,23,1996,2,1,94,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,José David Leudo / Jose-David-Leudo,co COL,MF,NorthEast Utd,29,1990,8,8,677,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Carlos Delgado / Carlos-Delgado,es ESP,DF,Delhi Dynamos,29,1990,9,8,741,1,0,0,0,3,1,0.12,0.00,0.12,0.12,0.12,Matches
46,Dimas Delgado / Dimas-Delgado,es ESP,MF,Bengaluru,36,1983,11,11,990,0,3,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches
47,Diawandou Diagne / Diawandou-Diagne,sn SEN,DF,Delhi Dynamos,24,1994,8,7,617,0,1,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
48,Francisco Dorronsoro / Francisco-Dorronsoro,es ESP,GK,Delhi Dynamos,34,1985,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Seiminlen Doungel / Seiminlen-Doungel,in IND,FW,Goa,25,1994,8,3,331,1,0,0,0,0,1,0.27,0.00,0.27,0.27,0.27,Matches
50,Vlatko Drobarov / Vlatko-Drobarov,mk MKD,DF,Kerala Blasters,26,1992,6,5,458,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Anas Edathodika / Anas-Edathodika,in IND,DF,Kolkata,32,1987,5,5,405,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Mourtada Fall / Mourtada-Fall,sn SEN,DF,Goa,31,1987,10,10,861,2,2,0,0,1,1,0.21,0.21,0.42,0.21,0.42,Matches
53,Brandon Fernandes / Brandon-Fernandes,in IND,MF,Goa,24,1994,11,11,985,2,5,0,0,3,0,0.18,0.46,0.64,0.18,0.64,Matches
54,Raynier Fernandes / Raynier-Fernandes,in IND,MF,Mumbai City,,,10,7,588,1,2,0,0,3,0,0.15,0.31,0.46,0.15,0.46,Matches
55,Romeo Fernandes / Romeo-Fernandes,in IND,MF,Delhi Dynamos,27,1992,3,0,65,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Seriton Fernandes / Seriton-Fernandes,in IND,MF,Goa,27,1992,11,11,990,0,1,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
57,Dragoș Firțulescu / Dragos-Firtulescu,ro ROU,MF,Chennaiyin,30,1989,9,3,307,0,2,0,0,1,0,0.00,0.59,0.59,0.00,0.59,Matches
58,Narender Gahlot / Narender-Gahlot,in IND,DF,Jamshedpur,18,2001,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Raju Gaikwad / Raju-Gaikwad,in IND,DF,Kerala Blasters,28,1990,8,7,662,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
